,diff_type,diff_mean
0,14_00001413_s001_t000_1_bs,9.37145113856809
1,14_00001413_s001_t000_1_bs_ov100,0.0
2,14_00001413_s001_t000_1_bs_ov120,0.0
3,14_00001413_s001_t000_1_bs_0,14.142937788130013
4,14_00001413_s001_t000_1_bs_mode0,4.941108017343538
5,14_00001413_s001_t000_1_bs_0_r,1.053760878844358
6,14_00001413_s001_t000_1_s,20.181267218614536
7,14_00001413_s001_t000_1_s_ov100,1.0
8,14_00001413_s001_t000_1_s_ov120,0.0
9,14_00001413_s001_t000_1_s_0,24.95275386817646
10,14_00001413_s001_t000_1_s_mode0,15.750924097389984
11,14_00001413_s001_t000_1_s_0_r,1.3017000478403842
12,14_00001413_s001_t000_1_basale_0,4.771486649561922
13,14_00001413_s001_t000_2_s_0,19.444045627366847
14,14_00001413_s001_t000_2_s_mode0,10.242215856580373
15,14_00001413_s001_t000_2_s_0_r,1.2350950731521761
16,14_00001413_s001_t000_3_bs,-2.638988922314269
17,14_00001413_s001_t000_3_bs_ov100,0.0
18,14_00001413_s001_t000_3_bs_ov120,0.0
19,14_00001413_s001_t000_3_bs_0,13.649026454488748
20,14_00001413_s001_t000_3_bs_mode0,4.447196683702273
21,14_00001413_s001_t000_3_bs_0_r,1.048386961238319
22,14_00001413_s001_t000_3_s,8.08616661756983
23,14_00001413_s001_t000_3_s_ov100,1.0
24,14_00001413_s001_t000_3_s_ov120,0.0
25,14_00001413_s001_t000_3_s_0,24.374181994372847
26,14_00001413_s001_t000_3_s_mode0,15.172352223586373
27,14_00001413_s001_t000_3_s_0_r,1.2947046210859743
28,14_00001413_s001_t000_3_basale_0,16.288015376803017
29,14_00001413_s002_t001_4_bs_0,9.759315101707614
30,14_00001413_s002_t001_4_bs_mode0,0.5574853309211392
31,14_00001413_s002_t001_4_bs_0_r,1.0060656235864422
32,14_00001413_s002_t001_4_s_0,15.057693930213276
33,14_00001413_s002_t001_4_s_mode0,5.855864159426801
34,14_00001413_s002_t001_4_s_0_r,1.1820603450469254
35,14_00001413_s002_t001_5_s_0,23.973517516115294
36,14_00001413_s002_t001_5_s_mode0,14.77168774532882
37,14_00001413_s002_t001_5_s_0_r,1.289860246276811
38,14_00001413_s002_t001_6_bs_0,8.563059602445904
39,14_00001413_s002_t001_6_bs_mode0,-0.6387701683405709
40,14_00001413_s002_t001_6_bs_0_r,0.9930499706727702
41,14_00001413_s002_t001_6_s_0,12.122108042942216
42,14_00001413_s002_t001_6_s_mode0,2.920278272155741
43,14_00001413_s002_t001_6_s_0_r,1.1465666112767714
44,14_00001413_s002_t001_7_bs,-0.1373171877490904
45,14_00001413_s002_t001_7_bs_ov100,0.0
46,14_00001413_s002_t001_7_bs_ov120,0.0
47,14_00001413_s002_t001_7_bs_0,13.912433432444203
48,14_00001413_s002_t001_7_bs_mode0,4.7106036616577285
49,14_00001413_s002_t001_7_bs_0_r,1.051252915712278
50,14_00001413_s002_t001_7_s,-0.8452373731184082
51,14_00001413_s002_t001_7_s_ov100,0.0
52,14_00001413_s002_t001_7_s_ov120,0.0
53,14_00001413_s002_t001_7_s_0,13.204513247074885
54,14_00001413_s002_t001_7_s_mode0,4.002683476288411
55,14_00001413_s002_t001_7_s_0_r,1.159653812136232
56,14_00001413_s002_t001_7_basale_0,14.049750620193294
57,14_00001413_s002_t001_8_bs_0,13.56920959635164
58,14_00001413_s002_t001_8_bs_mode0,4.367379825565166
59,14_00001413_s002_t001_8_bs_0_r,1.0475185275944916
